,userId,Reputation,Views,UpVotes,DownVotes,postId,Score,ViewCount,CommentCount
3080,258,101,1,9,0,0,0.0,0,0
3096,263,101,4,0,0,0,0.0,0,0
3232,275,101,0,0,0,0,0.0,0,0
3237,278,101,7,0,0,0,0.0,0,0
3359,280,101,1,27,0,0,0.0,0,0
3360,281,101,1,0,0,0,0.0,0,0
3404,293,101,0,0,0,0,0.0,0,0
3484,308,101,3,0,0,0,0.0,0,0
3485,310,101,0,0,0,0,0.0,0,0
3486,311,101,1,0,0,0,0.0,0,0
3487,314,101,1,0,0,0,0.0,0,0
3501,316,101,0,0,0,0,0.0,0,0
3541,320,101,0,3,0,0,0.0,0,0
3542,322,101,0,0,0,0,0.0,0,0
3543,325,101,1,0,0,0,0.0,0,0
3544,326,101,5,5,0,0,0.0,0,0
3548,329,101,1,0,0,0,0.0,0,0
3549,330,101,1,0,0,0,0.0,0,0
3669,335,101,0,4,0,0,0.0,0,0
3731,340,101,4,0,0,0,0.0,0,0
3732,344,101,0,0,0,0,0.0,0,0
3733,346,101,0,4,0,0,0.0,0,0
3734,347,101,0,0,0,0,0.0,0,0
3735,350,101,1,2,0,0,0.0,0,0
3736,351,101,8,1,0,0,0.0,0,0
3753,354,101,1,3,0,0,0.0,0,0
3754,357,101,0,3,0,0,0.0,0,0
3757,360,101,1,0,0,0,0.0,0,0
3758,362,101,0,0,1,0,0.0,0,0
3897,365,101,1,2,0,0,0.0,0,0
3911,371,101,1,0,0,0,0.0,0,0
3912,373,101,1,13,0,0,0.0,0,0
3913,374,101,1,0,0,0,0.0,0,0
3920,377,101,2,0,0,0,0.0,0,0
3925,380,101,2,4,0,0,0.0,0,0
3926,381,101,0,1,0,0,0.0,0,0
3927,382,101,0,0,0,0,0.0,0,0
3928,383,101,1,3,0,0,0.0,0,0
3929,384,101,0,0,0,0,0.0,0,0
3930,385,101,0,0,0,0,0.0,0,0
3944,390,101,0,0,0,0,0.0,0,0
3945,391,101,2,1,0,0,0.0,0,0
3946,392,101,2,1,0,0,0.0,0,0
3947,393,101,1,0,0,0,0.0,0,0
3953,395,101,0,7,0,0,0.0,0,0
3954,396,101,2,0,0,0,0.0,0,0
3955,397,101,7,2,0,0,0.0,0,0
3956,398,101,4,1,0,0,0.0,0,0
3957,399,101,0,0,0,0,0.0,0,0
4114,406,101,2,0,0,0,0.0,0,0
4115,407,101,2,0,0,0,0.0,0,0
4116,408,101,1,0,0,0,0.0,0,0
4118,411,101,1,2,0,0,0.0,0,0
4119,412,101,1,8,0,0,0.0,0,0
4120,413,101,0,26,0,0,0.0,0,0
4122,417,101,1,1,0,0,0.0,0,0
4135,420,101,4,244,0,0,0.0,0,0
4137,424,101,1,0,0,0,0.0,0,0
4138,426,101,1,0,0,0,0.0,0,0
4146,432,101,1,0,0,0,0.0,0,0
4149,435,101,1,0,0,0,0.0,0,0
4150,436,101,0,0,0,0,0.0,0,0
4224,440,101,0,0,0,0,0.0,0,0
4225,441,101,0,0,0,0,0.0,0,0
4319,444,101,0,0,0,0,0.0,0,0
4600,456,101,1,0,0,0,0.0,0,0
4601,457,101,0,0,0,0,0.0,0,0
4602,458,101,0,0,0,0,0.0,0,0
4607,461,101,2,13,0,0,0.0,0,0
4608,462,101,0,0,0,0,0.0,0,0
4610,465,101,1,0,0,0,0.0,0,0
4611,467,101,3,3,0,0,0.0,0,0
4613,469,101,0,1,0,0,0.0,0,0
4614,472,101,0,0,0,0,0.0,0,0
4618,475,101,1,0,0,0,0.0,0,0
4631,483,101,1,0,0,0,0.0,0,0
4675,486,101,0,46,0,0,0.0,0,0
4677,490,1,1,0,0,0,0.0,0,0
4679,492,1,6,0,0,0,0.0,0,0
4750,504,101,3,1,0,0,0.0,0,0
4754,509,139,90,24,2,0,0.0,0,0
4755,510,101,1,0,0,0,0.0,0,0
4794,512,101,1,0,0,0,0.0,0,0
4798,517,101,0,0,0,0,0.0,0,0
4853,522,101,1,0,0,0,0.0,0,0
4857,524,101,1,0,0,0,0.0,0,0
4858,526,1,1,0,0,0,0.0,0,0
4881,536,101,1,0,0,0,0.0,0,0
4889,542,101,1,0,0,0,0.0,0,0
4890,543,101,0,0,0,0,0.0,0,0
4893,547,101,10,0,0,0,0.0,0,0
4900,555,101,2,0,0,0,0.0,0,0
4901,556,113,22,33,0,0,0.0,0,0
4943,558,101,1,0,0,0,0.0,0,0
5003,563,101,0,0,0,0,0.0,0,0
5004,564,101,0,0,0,0,0.0,0,0
5041,575,101,3,0,0,0,0.0,0,0
5042,577,101,0,0,0,0,0.0,0,0
5097,583,101,0,0,0,0,0.0,0,0
5098,586,101,0,1,0,0,0.0,0,0
5143,589,58,11,4,0,0,0.0,0,0
5144,590,101,1,0,0,0,0.0,0,0
5145,591,101,1,0,0,0,0.0,0,0
5147,594,101,1,0,0,0,0.0,0,0
5149,596,101,2,0,0,0,0.0,0,0
5153,600,165,4,33,0,0,0.0,0,0
5551,606,101,0,0,0,0,0.0,0,0
5578,612,1,1,0,0,0,0.0,0,0
5579,613,101,0,0,0,0,0.0,0,0
5587,617,101,0,9,0,0,0.0,0,0
5588,618,101,2,0,0,0,0.0,0,0
5590,624,121,6,0,0,0,0.0,0,0
5591,626,101,3,0,0,0,0.0,0,0
5593,631,101,1,0,0,0,0.0,0,0
5598,633,101,2,0,0,0,0.0,0,0
5611,636,1,0,0,0,0,0.0,0,0
5612,637,118,6,25,0,0,0.0,0,0
5615,640,101,1,0,0,0,0.0,0,0
5616,641,1,0,0,0,0,0.0,0,0
5628,646,111,5,26,1,0,0.0,0,0
5631,648,101,0,0,0,0,0.0,0,0
5764,669,101,1,0,0,0,0.0,0,0
5765,671,101,4,9,0,0,0.0,0,0
5767,676,101,9,0,0,0,0.0,0,0
5768,677,101,0,2,0,0,0.0,0,0
5770,681,101,0,4,0,0,0.0,0,0
5771,682,101,1,0,0,0,0.0,0,0
5772,683,101,1,0,0,0,0.0,0,0
5774,685,1,0,0,0,0,0.0,0,0
6441,689,101,0,0,0,0,0.0,0,0
6444,691,1,1,0,0,0,0.0,0,0
6445,692,101,0,0,0,0,0.0,0,0
6487,700,101,0,0,0,0,0.0,0,0
6488,701,101,0,0,0,0,0.0,0,0
6495,703,101,0,0,0,0,0.0,0,0
6516,706,101,0,0,0,0,0.0,0,0
6517,707,101,57,10,0,0,0.0,0,0
6518,708,101,0,1,0,0,0.0,0,0
6519,710,101,0,0,0,0,0.0,0,0
6520,711,101,0,0,0,0,0.0,0,0
6522,714,101,0,0,0,0,0.0,0,0
6523,715,101,0,0,0,0,0.0,0,0
6524,716,1,4,0,0,0,0.0,0,0
6525,717,101,0,0,0,0,0.0,0,0
6526,718,101,1,0,0,0,0.0,0,0
6527,719,101,0,0,0,0,0.0,0,0
6528,720,101,0,0,0,0,0.0,0,0
6531,723,101,0,0,0,0,0.0,0,0
6532,724,101,1,0,0,0,0.0,0,0
6533,725,101,0,0,0,0,0.0,0,0
6538,727,101,1,0,0,0,0.0,0,0
6539,728,101,0,0,0,0,0.0,0,0
6547,733,101,2,0,0,0,0.0,0,0
6548,734,101,8,1,0,0,0.0,0,0
6549,735,101,0,4,0,0,0.0,0,0
6550,736,101,1,0,0,0,0.0,0,0
6551,737,93,3,1,0,0,0.0,0,0
6570,742,101,0,0,0,0,0.0,0,0
6575,744,101,1,0,0,0,0.0,0,0
6576,745,101,1,0,0,0,0.0,0,0
6577,746,101,0,2,0,0,0.0,0,0
6579,748,101,0,0,0,0,0.0,0,0
6588,751,101,0,0,0,0,0.0,0,0
6589,753,101,34,3,0,0,0.0,0,0
6590,754,101,0,0,0,0,0.0,0,0
6591,755,101,0,0,0,0,0.0,0,0
6596,764,101,0,1,0,0,0.0,0,0
6600,768,101,7,1,0,0,0.0,0,0
6602,771,101,1,0,0,0,0.0,0,0
6603,772,101,1,0,0,0,0.0,0,0
6604,774,101,0,1,0,0,0.0,0,0
6653,777,101,0,0,0,0,0.0,0,0
6667,779,103,0,1,1,0,0.0,0,0
6668,780,101,0,1,0,0,0.0,0,0
6684,785,101,1,0,0,0,0.0,0,0
6685,786,101,1,0,0,0,0.0,0,0
6690,793,101,0,0,0,0,0.0,0,0
6904,797,101,1,0,0,0,0.0,0,0
6905,798,101,0,1,0,0,0.0,0,0
6915,802,101,2,0,0,0,0.0,0,0
7026,808,101,8,27,0,0,0.0,0,0
7045,813,101,0,2,0,0,0.0,0,0
7046,814,101,0,0,0,0,0.0,0,0
7047,816,101,0,0,0,0,0.0,0,0
7048,819,101,0,0,0,0,0.0,0,0
7049,821,101,1,0,0,0,0.0,0,0
7050,822,101,0,0,0,0,0.0,0,0
7051,823,101,1,0,0,0,0.0,0,0
7054,826,101,0,0,0,0,0.0,0,0
7061,828,101,0,0,0,0,0.0,0,0
7062,829,101,0,0,0,0,0.0,0,0
7078,831,101,1,0,0,0,0.0,0,0
7092,836,101,2,0,0,0,0.0,0,0
7093,838,101,0,6,0,0,0.0,0,0
7094,839,101,1,0,0,0,0.0,0,0
7101,842,101,5,24,0,0,0.0,0,0
7102,844,101,1,0,0,0,0.0,0,0
7114,846,101,3,0,0,0,0.0,0,0
7140,855,101,2,0,0,0,0.0,0,0
7225,865,101,1,0,0,0,0.0,0,0
7226,866,1,3,0,0,0,0.0,0,0
7235,871,101,2,3,0,0,0.0,0,0
7255,877,101,8,1,0,0,0.0,0,0
7256,878,101,4,0,0,0,0.0,0,0
7257,879,101,0,2,0,0,0.0,0,0
7286,882,101,6,5,0,0,0.0,0,0
7287,884,101,3,0,0,0,0.0,0,0
7564,891,101,14,0,0,0,0.0,0,0
7624,894,101,0,0,0,0,0.0,0,0
7625,899,101,0,0,0,0,0.0,0,0
7644,901,101,2,11,0,0,0.0,0,0
7645,902,101,0,0,0,0,0.0,0,0
7647,906,101,2,0,0,0,0.0,0,0
7649,911,101,0,0,0,0,0.0,0,0
7650,912,101,0,0,0,0,0.0,0,0
8482,923,101,1,0,0,0,0.0,0,0
8483,926,101,0,0,0,0,0.0,0,0
8485,928,101,0,0,0,0,0.0,0,0
8486,929,101,0,0,0,0,0.0,0,0
8938,931,101,1,0,0,0,0.0,0,0
8939,932,101,0,0,0,0,0.0,0,0
8941,934,101,0,0,0,0,0.0,0,0
8942,935,101,0,0,0,0,0.0,0,0
8947,940,101,1,0,0,0,0.0,0,0
8948,941,101,0,0,0,0,0.0,0,0
8952,944,126,6,2,0,0,0.0,0,0
8953,945,123,9,19,0,0,0.0,0,0
8954,948,101,0,1,0,0,0.0,0,0
8956,954,101,2,0,0,0,0.0,0,0
8957,955,101,0,0,0,0,0.0,0,0
8969,960,101,0,0,0,0,0.0,0,0
8991,963,101,0,0,0,0,0.0,0,0
9027,970,101,1,0,0,0,0.0,0,0
9028,971,101,0,0,0,0,0.0,0,0
9030,973,101,3,3,0,0,0.0,0,0
9057,978,101,0,1,0,0,0.0,0,0
9063,980,101,1,0,0,0,0.0,0,0
9064,981,101,1,0,0,0,0.0,0,0
9065,982,101,2,2,0,0,0.0,0,0
9066,983,101,0,0,0,0,0.0,0,0
9067,985,101,15,2,0,0,0.0,0,0
9077,989,101,2,0,0,0,0.0,0,0
9104,998,101,0,0,0,0,0.0,0,0
9105,1000,101,2,1,0,0,0.0,0,0
9161,1010,101,1,0,0,0,0.0,0,0
9164,1014,101,0,0,0,0,0.0,0,0
9165,1015,101,1,0,0,0,0.0,0,0
9167,1017,101,2,13,0,0,0.0,0,0
9191,1030,101,2,0,0,0,0.0,0,0
9192,1032,101,4,2,0,0,0.0,0,0
9334,1040,101,2,0,0,0,0.0,0,0
9335,1041,101,0,0,0,0,0.0,0,0
9370,1053,101,0,0,0,0,0.0,0,0
9373,1059,101,0,7,0,0,0.0,0,0
9374,1063,101,0,0,0,0,0.0,0,0
9375,1064,101,0,1,0,0,0.0,0,0
9377,1066,101,10,0,0,0,0.0,0,0
9379,1069,101,0,0,0,0,0.0,0,0
9381,1073,101,3,0,0,0,0.0,0,0
9382,1074,101,1,2,0,0,0.0,0,0
9436,1083,101,0,1,0,0,0.0,0,0
9443,1085,101,2,0,0,0,0.0,0,0
9444,1087,101,1,0,0,0,0.0,0,0
9450,1092,101,1,0,0,0,0.0,0,0
9467,1099,1,0,0,0,0,0.0,0,0
9468,1100,101,1,0,0,0,0.0,0,0
9469,1101,101,5,4,0,0,0.0,0,0
9482,1103,101,1,1,0,0,0.0,0,0
9483,1104,100,0,10,1,0,0.0,0,0
9596,1109,101,0,0,0,0,0.0,0,0
9597,1110,101,1,0,0,0,0.0,0,0
9612,1113,101,1,0,0,0,0.0,0,0
9614,1115,101,0,0,0,0,0.0,0,0
9674,1123,101,0,0,0,0,0.0,0,0
9722,1125,101,0,0,0,0,0.0,0,0
9730,1130,101,1,0,0,0,0.0,0,0
9731,1131,101,0,0,0,0,0.0,0,0
9737,1136,101,1,0,0,0,0.0,0,0
9745,1142,100,48,1,1,0,0.0,0,0
9785,1147,101,1,2,0,0,0.0,0,0
9787,1149,101,0,1,0,0,0.0,0,0
9797,1151,101,6,1,0,0,0.0,0,0
9798,1152,101,1,0,0,0,0.0,0,0
9799,1153,1,1,0,0,0,0.0,0,0
9809,1156,101,0,0,0,0,0.0,0,0
9814,1160,101,0,0,0,0,0.0,0,0
9815,1161,101,0,0,0,0,0.0,0,0
9816,1162,101,1,0,0,0,0.0,0,0
9818,1164,101,3,2,0,0,0.0,0,0
9819,1166,101,4,1,0,0,0.0,0,0
9821,1169,101,1,0,0,0,0.0,0,0
9822,1170,101,0,1,0,0,0.0,0,0
9823,1173,101,1,0,0,0,0.0,0,0
9824,1178,101,0,0,0,0,0.0,0,0
9825,1179,101,1,1,0,0,0.0,0,0
9826,1180,101,0,1,0,0,0.0,0,0
9827,1181,101,0,0,0,0,0.0,0,0
9828,1182,101,2,2,0,0,0.0,0,0
9829,1183,101,0,0,0,0,0.0,0,0
9831,1186,101,0,0,0,0,0.0,0,0
9832,1187,101,2,0,0,0,0.0,0,0
9835,1190,101,6,2,0,0,0.0,0,0
9850,1192,101,0,2,0,0,0.0,0,0
9851,1194,103,0,2,0,0,0.0,0,0
9864,1200,101,1,0,0,0,0.0,0,0
9866,1202,101,1,0,0,0,0.0,0,0
9876,1211,101,0,0,0,0,0.0,0,0
9911,1226,101,1,0,0,0,0.0,0,0
9923,1234,101,0,0,0,0,0.0,0,0
9924,1238,101,0,0,0,0,0.0,0,0
9925,1239,101,0,0,0,0,0.0,0,0
9926,1242,101,1,0,0,0,0.0,0,0
9927,1244,101,0,0,0,0,0.0,0,0
9941,1249,101,0,0,0,0,0.0,0,0
9962,1252,101,1,0,0,0,0.0,0,0
9964,1255,101,1,1,0,0,0.0,0,0
9974,1262,101,0,0,0,0,0.0,0,0
9991,1268,101,7,1,0,0,0.0,0,0
9992,1269,101,1,4,0,0,0.0,0,0
10004,1271,101,1,0,0,0,0.0,0,0
10006,1273,101,33,0,0,0,0.0,0,0
10007,1276,101,0,1,0,0,0.0,0,0
10008,1277,1,1,0,0,0,0.0,0,0
10011,1280,101,1,0,0,0,0.0,0,0
10012,1282,101,0,0,0,0,0.0,0,0
10035,1292,101,2,0,0,0,0.0,0,0
10036,1293,101,0,0,0,0,0.0,0,0
10037,1294,101,0,0,0,0,0.0,0,0
10038,1295,101,0,0,0,0,0.0,0,0
10039,1296,101,0,0,0,0,0.0,0,0
10040,1297,101,0,0,0,0,0.0,0,0
10041,1298,101,0,0,0,0,0.0,0,0
10042,1299,101,2,0,0,0,0.0,0,0
10043,1300,101,0,1,0,0,0.0,0,0
10044,1302,101,0,0,0,0,0.0,0,0
10046,1305,101,1,0,0,0,0.0,0,0
10047,1306,101,0,0,0,0,0.0,0,0
10137,1308,101,1,0,0,0,0.0,0,0
10138,1309,101,0,0,0,0,0.0,0,0
10139,1311,101,1,0,0,0,0.0,0,0
10140,1312,101,0,4,0,0,0.0,0,0
10146,1315,101,3,0,0,0,0.0,0,0
10148,1318,101,1,1,0,0,0.0,0,0
10149,1319,101,2,1,0,0,0.0,0,0
10157,1321,101,1,5,0,0,0.0,0,0
10158,1322,101,0,0,0,0,0.0,0,0
10159,1323,101,1,14,0,0,0.0,0,0
10166,1328,101,0,0,0,0,0.0,0,0
10214,1331,101,0,0,0,0,0.0,0,0
10223,1345,101,2,2,0,0,0.0,0,0
10224,1346,101,0,0,0,0,0.0,0,0
10360,1354,106,2,0,0,0,0.0,0,0
10384,1357,101,1,3,0,0,0.0,0,0
10385,1358,1,0,0,0,0,0.0,0,0
10390,1367,101,0,0,0,0,0.0,0,0
10391,1368,101,10,2,0,0,0.0,0,0
10398,1375,101,0,23,0,0,0.0,0,0
10400,1377,101,2,1,0,0,0.0,0,0
10411,1380,101,1,34,0,0,0.0,0,0
10501,1384,101,0,1,0,0,0.0,0,0
10635,1398,101,0,0,0,0,0.0,0,0
10636,1399,101,1,1,0,0,0.0,0,0
10637,1400,101,0,0,0,0,0.0,0,0
10638,1402,101,0,0,0,0,0.0,0,0
10639,1403,101,14,0,0,0,0.0,0,0
10640,1409,101,0,0,0,0,0.0,0,0
10645,1413,101,0,2,0,0,0.0,0,0
10647,1416,101,0,0,0,0,0.0,0,0
10651,1419,101,0,1,0,0,0.0,0,0
10657,1423,101,1,0,0,0,0.0,0,0
10659,1426,101,1,1,0,0,0.0,0,0
10677,1437,101,0,1,0,0,0.0,0,0
10679,1440,101,0,0,0,0,0.0,0,0
10681,1442,101,0,0,0,0,0.0,0,0
10717,1446,1,3,0,0,0,0.0,0,0
10723,1455,101,1,0,0,0,0.0,0,0
10726,1457,101,1,0,0,0,0.0,0,0
10729,1460,101,1,0,0,0,0.0,0,0
10730,1462,101,0,0,0,0,0.0,0,0
10734,1465,101,0,4,0,0,0.0,0,0
10735,1466,114,10,19,1,0,0.0,0,0
10736,1467,101,0,0,0,0,0.0,0,0
10737,1468,101,0,0,0,0,0.0,0,0
10738,1472,101,0,0,0,0,0.0,0,0
10750,1480,101,0,0,0,0,0.0,0,0
10751,1483,101,1,2,0,0,0.0,0,0
10752,1486,101,0,0,0,0,0.0,0,0
10753,1487,101,0,0,0,0,0.0,0,0
10754,1488,101,2,0,0,0,0.0,0,0
10759,1493,101,0,0,0,0,0.0,0,0
10760,1494,101,3,0,0,0,0.0,0,0
10786,1498,101,0,0,0,0,0.0,0,0
10817,1500,101,0,0,0,0,0.0,0,0
10825,1508,101,6,0,0,0,0.0,0,0
10826,1510,101,0,0,0,0,0.0,0,0
10858,1517,101,3,1,0,0,0.0,0,0
10859,1518,101,0,12,0,0,0.0,0,0
10862,1524,101,2,0,0,0,0.0,0,0
10863,1525,101,2,0,0,0,0.0,0,0
10872,1533,101,3,3,0,0,0.0,0,0
10921,1543,101,5,6,0,0,0.0,0,0
10923,1548,101,0,3,0,0,0.0,0,0
10938,1555,101,1,0,0,0,0.0,0,0
10941,1560,101,0,2,0,0,0.0,0,0
10942,1563,101,0,0,0,0,0.0,0,0
10987,1571,101,0,3,0,0,0.0,0,0
11008,1576,101,0,2,0,0,0.0,0,0
11009,1577,101,4,39,0,0,0.0,0,0
11010,1578,101,0,0,0,0,0.0,0,0
11011,1580,101,2,1,0,0,0.0,0,0
11012,1582,101,0,0,0,0,0.0,0,0
11032,1590,101,0,0,0,0,0.0,0,0
11033,1591,101,8,32,0,0,0.0,0,0
11034,1592,101,0,3,0,0,0.0,0,0
11037,1596,101,0,0,0,0,0.0,0,0
11039,1599,101,0,0,0,0,0.0,0,0
11046,1612,101,0,0,0,0,0.0,0,0
11054,1616,101,0,3,0,0,0.0,0,0
11062,1622,101,3,0,0,0,0.0,0,0
11068,1633,101,1,0,0,0,0.0,0,0
11101,1644,101,0,0,0,0,0.0,0,0
11107,1654,101,0,0,0,0,0.0,0,0
11123,1658,101,9,29,0,0,0.0,0,0
11124,1659,101,0,0,0,0,0.0,0,0
11125,1660,1,0,0,0,0,0.0,0,0
11131,1666,11,2,0,0,0,0.0,0,0
11132,1667,101,1,0,0,0,0.0,0,0
11155,1673,101,5,2,0,0,0.0,0,0
11156,1675,101,1,0,0,0,0.0,0,0
11157,1678,101,0,8,0,0,0.0,0,0
11231,1686,101,0,1,0,0,0.0,0,0
11235,1691,101,2,1,0,0,0.0,0,0
11236,1692,101,0,0,0,0,0.0,0,0
11238,1698,1,2,0,0,0,0.0,0,0
11241,1701,101,0,0,0,0,0.0,0,0
11301,1723,1,2,0,0,0,0.0,0,0
11309,1730,101,1,1,0,0,0.0,0,0
11310,1731,101,0,0,0,0,0.0,0,0
11453,1742,101,0,0,0,0,0.0,0,0
11455,1747,101,1,2,0,0,0.0,0,0
11456,1749,101,2,0,0,0,0.0,0,0
11458,1751,101,0,0,0,0,0.0,0,0
11460,1753,101,0,0,0,0,0.0,0,0
11461,1755,101,0,0,0,0,0.0,0,0
11463,1758,101,1,0,0,0,0.0,0,0
11469,1761,101,3,0,0,0,0.0,0,0
11680,1770,101,1,0,0,0,0.0,0,0
11681,1771,101,0,1,0,0,0.0,0,0
11682,1773,101,1,0,0,0,0.0,0,0
11683,1775,101,0,0,0,0,0.0,0,0
11690,1782,101,1,5,0,0,0.0,0,0
11691,1783,101,4,0,0,0,0.0,0,0
11701,1790,101,0,0,0,0,0.0,0,0
11702,1791,101,1,0,0,0,0.0,0,0
11705,1794,101,9,5,0,0,0.0,0,0
11711,1802,101,0,0,0,0,0.0,0,0
11715,1807,101,1,0,0,0,0.0,0,0
11756,1812,101,2,1,0,0,0.0,0,0
11757,1813,101,0,0,0,0,0.0,0,0
11762,1816,101,0,0,0,0,0.0,0,0
11774,1821,101,0,2,0,0,0.0,0,0
11775,1822,1,0,0,0,0,0.0,0,0
11776,1823,101,2,0,0,0,0.0,0,0
11777,1827,101,1,0,0,0,0.0,0,0
11789,1832,101,0,4,0,0,0.0,0,0
11805,1837,101,1,0,0,0,0.0,0,0
11806,1840,101,2,0,0,0,0.0,0,0
11807,1841,16,5,0,0,0,0.0,0,0
11808,1843,101,0,0,0,0,0.0,0,0
11809,1844,101,1,0,0,0,0.0,0,0
11811,1846,101,1,0,0,0,0.0,0,0
11812,1847,101,0,0,0,0,0.0,0,0
11813,1849,1,0,0,0,0,0.0,0,0
11814,1850,101,3,0,0,0,0.0,0,0
11815,1853,101,7,0,0,0,0.0,0,0
11816,1855,101,2,0,0,0,0.0,0,0
11819,1858,101,0,0,0,0,0.0,0,0
11820,1859,101,1,0,0,0,0.0,0,0
11824,1861,101,2,1,0,0,0.0,0,0
11828,1864,101,0,0,0,0,0.0,0,0
11829,1866,1,0,0,0,0,0.0,0,0
11830,1867,101,0,0,0,0,0.0,0,0
11831,1870,101,1,1,0,0,0.0,0,0
11843,1875,101,0,0,0,0,0.0,0,0
11847,1877,101,0,2,0,0,0.0,0,0
11848,1878,101,1,0,0,0,0.0,0,0
11849,1879,101,0,0,0,0,0.0,0,0
11850,1882,101,1,0,0,0,0.0,0,0
11851,1883,101,1,0,0,0,0.0,0,0
11852,1884,101,0,0,0,0,0.0,0,0
11859,1888,101,0,0,0,0,0.0,0,0
11860,1889,101,0,0,0,0,0.0,0,0
11861,1890,101,0,0,0,0,0.0,0,0
11862,1891,101,0,0,0,0,0.0,0,0
11905,1898,101,1,0,0,0,0.0,0,0
11908,1902,101,0,0,0,0,0.0,0,0
11909,1903,101,0,0,0,0,0.0,0,0
11910,1904,101,0,0,0,0,0.0,0,0
11911,1906,101,1,15,0,0,0.0,0,0
11912,1907,101,0,0,0,0,0.0,0,0
11913,1908,101,0,2,0,0,0.0,0,0
11996,1910,101,0,0,0,0,0.0,0,0
12038,1915,103,4,50,0,0,0.0,0,0
12046,1917,101,0,0,0,0,0.0,0,0
12047,1918,101,3,0,0,0,0.0,0,0
12049,1924,101,0,0,0,0,0.0,0,0
12050,1926,101,0,0,0,0,0.0,0,0
12053,1931,101,0,0,0,0,0.0,0,0
12092,1935,111,6,35,0,0,0.0,0,0
12093,1936,101,1,0,0,0,0.0,0,0
12094,1937,101,0,0,0,0,0.0,0,0
12100,1944,113,6,3,0,0,0.0,0,0
12128,1947,101,0,0,0,0,0.0,0,0
12129,1949,101,1,0,0,0,0.0,0,0
12139,1956,101,1,0,0,0,0.0,0,0
12140,1957,1,2,0,0,0,0.0,0,0
12143,1962,101,1,0,0,0,0.0,0,0
12162,1967,101,3,0,0,0,0.0,0,0
12163,1968,101,0,0,0,0,0.0,0,0
12164,1969,1,0,0,0,0,0.0,0,0
12169,1972,101,0,0,0,0,0.0,0,0
12177,1974,101,1,0,0,0,0.0,0,0
12178,1976,101,2,0,0,0,0.0,0,0
12201,1978,101,3,0,0,0,0.0,0,0
12219,1983,101,9,15,0,0,0.0,0,0
12220,1985,101,0,0,0,0,0.0,0,0
12221,1987,101,4,0,0,0,0.0,0,0
12222,1990,101,2,5,0,0,0.0,0,0
